ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-08-01,6869.088451485207,5972.5206515510345,8138.755096012464,6869.088451485207,6869.088451485207,189.75120072456943,189.75120072456943,189.75120072456943,189.75120072456943,189.75120072456943,189.75120072456943,0.0,0.0,0.0,7058.839652209776
2022-09-01,6799.5914552350405,5303.199341541844,7464.604742479513,6799.5914552350405,6799.5914552350405,-452.89665252760244,-452.89665252760244,-452.89665252760244,-452.89665252760244,-452.89665252760244,-452.89665252760244,0.0,0.0,0.0,6346.694802707438
2022-10-01,6732.336297573591,5621.232724875849,7789.704969433174,6732.336297573591,6732.336297573591,-24.128428708872065,-24.128428708872065,-24.128428708872065,-24.128428708872065,-24.128428708872065,-24.128428708872065,0.0,0.0,0.0,6708.207868864719
2022-11-01,6791.801652012636,6505.351357831527,8665.700455227925,6791.801652012636,6791.801652012636,796.2406602868215,796.2406602868215,796.2406602868215,796.2406602868215,796.2406602868215,796.2406602868215,0.0,0.0,0.0,7588.042312299457
2022-12-01,6849.499779200781,6473.535537312757,8625.326133910907,6849.499779200781,6849.499779200781,632.6525820392742,632.6525820392742,632.6525820392742,632.6525820392742,632.6525820392742,632.6525820392742,0.0,0.0,0.0,7482.152361240055
2023-01-01,6909.12191614778,5731.796434746068,7809.182327140616,6909.12191614778,6909.12191614778,-129.16646754583581,-129.16646754583581,-129.16646754583581,-129.16646754583581,-129.16646754583581,-129.16646754583581,0.0,0.0,0.0,6779.955448601944
2023-02-01,6968.744054342454,5003.0526822798765,7183.712981757928,6968.744054342454,6968.744054342454,-883.0511657762463,-883.0511657762463,-883.0511657762463,-883.0511657762463,-883.0511657762463,-883.0511657762463,0.0,0.0,0.0,6085.692888566207
2023-03-01,7022.59630803361,6650.597266205281,8748.884387820346,7022.59630803361,7022.59630803361,675.5467177985174,675.5467177985174,675.5467177985174,675.5467177985174,675.5467177985174,675.5467177985174,0.0,0.0,0.0,7698.143025832127
2023-04-01,7082.218445777531,5358.967165557992,7549.177543419648,7082.218445777531,7082.218445777531,-640.1075751263052,-640.1075751263052,-640.1075751263052,-640.1075751263052,-640.1075751263052,-640.1075751263052,0.0,0.0,0.0,6442.110870651226
2023-05-01,7139.917288788505,6376.3535183249805,8512.810458859532,7139.917288788505,7139.917288788505,387.5257853431331,387.5257853431331,387.5257853431331,387.5257853431331,387.5257853431331,387.5257853431331,0.0,0.0,0.0,7527.443074131638
2023-06-01,7199.53942656651,5077.6848884380925,7224.711941986361,7199.53942656651,7199.53942656651,-1012.7481247705431,-1012.7481247705431,-1012.7481247705431,-1012.7481247705431,-1012.7481247705431,-1012.7481247705431,0.0,0.0,0.0,6186.791301795967
2023-07-01,7257.238269577482,6330.905078585462,8465.302913474503,7257.238269577482,7257.238269577482,135.80750899763643,135.80750899763643,135.80750899763643,135.80750899763643,135.80750899763643,135.80750899763643,0.0,0.0,0.0,7393.045778575119
2023-08-01,7316.860407355487,6426.1917688960375,8653.013580170138,7316.860407355487,7316.860407355487,197.8650142226125,197.8650142226125,197.8650142226125,197.8650142226125,197.8650142226125,197.8650142226125,0.0,0.0,0.0,7514.7254215780995
2023-09-01,7376.482545133492,5927.157597059089,8027.772901559072,7376.482545133492,7376.482545133492,-441.39192500984285,-441.39192500984285,-441.39192500984285,-441.39192500984285,-441.39192500984285,-441.39192500984285,0.0,0.0,0.0,6935.090620123649
2023-10-01,7434.181388144465,6393.715307197444,8472.44205737048,7434.181388144465,7434.181388144465,-6.518897133972113,-6.518897133972113,-6.518897133972113,-6.518897133972113,-6.518897133972113,-6.518897133972113,0.0,0.0,0.0,7427.662491010493
2023-11-01,7493.80352592247,7155.211738094867,9384.657208468658,7493.80352592247,7493.80352592247,781.3791365349902,781.3791365349902,781.3791365349902,781.3791365349902,781.3791365349902,781.3791365349902,0.0,0.0,0.0,8275.18266245746
2023-12-01,7551.502368933442,7167.7638324650725,9170.714321829304,7551.502368933442,7551.502368933442,614.6873486483564,614.6873486483564,614.6873486483564,614.6873486483564,614.6873486483564,614.6873486483564,0.0,0.0,0.0,8166.1897175817985
2024-01-01,7611.124506711447,6398.854497510381,8478.464932453986,7607.3845341436845,7614.543608460205,-143.0719602699782,-143.0719602699782,-143.0719602699782,-143.0719602699782,-143.0719602699782,-143.0719602699782,0.0,0.0,0.0,7468.052546441469
2024-02-01,7670.746644489453,5766.366597468548,7919.569428649319,7659.290098623793,7682.081132822599,-837.6480580461148,-837.6480580461148,-837.6480580461148,-837.6480580461148,-837.6480580461148,-837.6480580461148,0.0,0.0,0.0,6833.098586443338
2024-03-01,7726.522192733393,7401.204343874836,9557.259610290053,7704.890164465852,7747.972421185755,758.9860402160956,758.9860402160956,758.9860402160956,758.9860402160956,758.9860402160956,758.9860402160956,0.0,0.0,0.0,8485.508232949489
2024-04-01,7786.144330511397,6094.039265211833,8325.481514890738,7752.554247785176,7819.909539233468,-649.4012508193715,-649.4012508193715,-649.4012508193715,-649.4012508193715,-649.4012508193715,-649.4012508193715,0.0,0.0,0.0,7136.743079692025
2024-05-01,7843.84317352237,7119.501985484837,9215.276753436607,7796.2225042074815,7891.866157443158,338.7487462428495,338.7487462428495,338.7487462428495,338.7487462428495,338.7487462428495,338.7487462428495,0.0,0.0,0.0,8182.59191976522
2024-06-01,7903.465311300375,5954.898820000568,8032.129369631266,7839.304732255952,7966.84973722262,-971.8085094648457,-971.8085094648457,-971.8085094648457,-971.8085094648457,-971.8085094648457,-971.8085094648457,0.0,0.0,0.0,6931.656801835529
